9.977,-1.78E-02
10.01,9.71E-03
10.043,3.72E-02
10.077,6.30E-02
10.11,8.72E-02
10.143,0.109
10.177,0.13
10.21,0.147
10.243,0.161
10.277,0.171
10.31,0.178
10.343,0.18
10.377,0.18
10.41,0.176
10.443,0.168
10.477,0.156
10.51,0.142
10.543,0.125
10.577,0.106
10.61,8.26E-02
10.643,5.79E-02
10.677,3.15E-02
10.71,5.27E-03
10.743,-2.08E-02
10.777,-4.75E-02
10.81,-7.25E-02
10.843,-9.69E-02
10.877,-0.119
10.91,-0.138
10.943,-0.155
10.977,-0.169
11.01,-0.179
11.043,-0.187
11.077,-0.19
11.11,-0.19
11.143,-0.186
11.177,-0.179
11.21,-0.168
11.243,-0.154
11.277,-0.137
11.31,-0.116
11.343,-9.48E-02
11.377,-7.03E-02
11.41,-4.49E-02
11.443,-1.88E-02
11.477,7.41E-03
11.51,3.25E-02
11.543,5.71E-02
11.577,7.97E-02
11.61,0.101
11.643,0.12
11.678,0.137
11.712,0.15
11.745,0.159
11.778,0.166
11.812,0.169
11.845,0.168
11.878,0.164
11.912,0.156
11.945,0.145
11.978,0.131
12.012,0.114
12.045,9.60E-02
12.078,7.51E-02
12.112,5.25E-02
12.145,2.83E-02
12.178,3.61E-03
12.212,-2.12E-02
12.245,-4.66E-02
12.278,-7.05E-02
12.312,-9.29E-02
12.345,-0.114
12.378,-0.133
12.412,-0.149
12.445,-0.162
12.478,-0.172
12.512,-0.179
12.545,-0.183
12.578,-0.183
12.612,-0.179
12.645,-0.172
12.678,-0.161
12.712,-0.148
12.745,-0.131
12.778,-0.111
12.812,-9.02E-02
12.845,-6.73E-02
12.878,-4.22E-02
12.912,-1.78E-02
12.945,6.64E-03
12.978,3.05E-02
13.012,5.38E-02
13.045,7.54E-02
13.078,9.60E-02
13.112,0.114
13.145,0.13
13.178,0.142
13.212,0.151
13.245,0.157
13.278,0.16
13.312,0.159
13.345,0.155
13.378,0.148
13.412,0.137
13.445,0.124
13.478,0.108
13.512,8.97E-02
13.547,6.93E-02
13.58,4.75E-02
13.613,2.52E-02
13.647,1.67E-03
13.68,-2.24E-02
13.713,-4.67E-02
13.747,-6.99E-02
13.78,-9.13E-02
13.813,-0.112
13.847,-0.129
13.88,-0.144
13.913,-0.156
13.947,-0.166
13.98,-0.173
14.013,-0.175
14.047,-0.175
14.08,-0.171
14.113,-0.163
14.147,-0.153
14.18,-0.14
14.213,-0.124
14.247,-0.105
14.28,-8.47E-02
14.313,-6.19E-02
14.347,-3.87E-02
14.38,-1.49E-02
14.413,7.64E-03
14.447,2.96E-02
14.48,5.14E-02
14.513,7.16E-02
14.547,9.01E-02
14.58,0.106
14.613,0.12
14.647,0.131
14.68,0.139
14.713,0.145
14.747,0.147
14.78,0.146
14.813,0.142
14.847,0.135
14.88,0.126
14.913,0.114
14.947,0.1
14.98,8.36E-02
15.013,6.52E-02
15.047,4.45E-02
15.08,2.32E-02
15.113,7.14E-04
15.147,-2.15E-02
15.18,-4.48E-02
15.213,-6.64E-02
15.247,-8.63E-02
15.28,-0.105
15.313,-0.122
15.347,-0.136
15.38,-0.146
15.413,-0.155
15.448,-0.161
15.482,-0.163
15.515,-0.162
15.548,-0.158
15.582,-0.15
15.615,-0.142
15.648,-0.128
15.682,-0.111
15.715,-9.31E-02
15.748,-7.46E-02
15.782,-5.40E-02
15.815,-3.14E-02
15.848,-1.06E-02
15.882,1.37E-02
15.915,3.25E-02
15.948,5.49E-02
15.982,7.36E-02
16.015,9.13E-02
16.048,0.107
16.082,0.12
16.115,0.131
16.148,0.137
16.182,0.145
16.215,0.147
16.248,0.146
16.282,0.143
16.315,0.136
16.348,0.127
16.382,0.116
16.415,0.101
16.448,8.61E-02
16.482,6.83E-02
16.515,4.81E-02
16.548,2.76E-02
16.582,6.43E-03
16.615,-1.41E-02
16.648,-3.64E-02
16.682,-5.72E-02
16.715,-7.65E-02
16.748,-9.47E-02
16.782,-0.11
16.815,-0.124
16.848,-0.135
16.882,-0.143
16.915,-0.148
16.948,-0.151
16.982,-0.15
17.015,-0.146
17.048,-0.14
17.082,-0.13
17.115,-0.117
17.148,-0.103
17.182,-8.65E-02
17.215,-6.71E-02
17.248,-4.73E-02
17.282,-2.56E-02
17.317,-4.99E-03
17.35,1.61E-02
17.383,3.65E-02
17.417,5.66E-02
17.45,7.52E-02
17.483,9.18E-02
17.517,0.106
17.55,0.119
17.583,0.129
17.617,0.136
17.65,0.141
17.683,0.143
17.717,0.142
17.75,0.138
17.783,0.131
17.817,0.122
17.85,0.111
17.883,9.64E-02
17.917,8.05E-02
17.95,6.24E-02
17.983,4.33E-02
18.017,2.32E-02
18.05,2.72E-03
18.083,-1.80E-02
18.117,-3.84E-02
18.15,-5.85E-02
18.183,-7.64E-02
18.217,-9.36E-02
18.25,-0.108
18.283,-0.121
18.317,-0.132
18.35,-0.112
18.383,-0.116
18.417,-0.118
18.45,-0.117
18.483,-0.113
18.517,-0.106
18.55,-9.70E-02
18.583,-8.49E-02
18.617,-9.87E-02
18.65,-8.25E-02
18.683,-6.45E-02
18.717,-4.52E-02
18.75,-2.49E-02
18.783,-4.63E-03
18.817,1.57E-02
18.85,3.46E-02
18.883,5.37E-02
18.917,7.13E-02
18.95,8.73E-02
18.983,0.101
19.017,0.113
19.05,0.122
19.083,0.129
19.117,0.133
19.15,0.134
19.183,0.133
19.218,0.129
19.252,0.123
19.285,0.114
19.318,0.102
19.352,8.89E-02
19.385,7.32E-02
19.418,5.66E-02
19.452,3.83E-02
19.485,1.94E-02
19.518,-3.96E-04
19.552,-1.95E-02
19.585,-3.94E-02
19.618,-5.79E-02
19.652,-7.57E-02
19.685,-9.10E-02
19.718,-0.105
19.752,-0.117
19.785,-0.126
19.818,-0.133
19.852,-0.11
19.885,-0.111
19.918,-0.109
19.952,-0.105
19.985,-9.87E-02
20.018,-8.91E-02
20.052,-7.80E-02
20.085,-9.09E-02
20.118,-7.48E-02
20.152,-5.78E-02
20.185,-3.86E-02
20.218,-1.92E-02
20.252,-4.36E-04
20.285,1.85E-02
20.318,3.66E-02
20.352,5.47E-02
20.385,7.12E-02
20.418,8.56E-02
20.452,9.81E-02
20.485,0.109
20.518,0.118
20.552,0.123
20.585,0.127
20.618,0.128
20.652,0.126
20.685,0.122
20.718,0.116
20.752,0.107
20.785,9.58E-02
20.818,8.32E-02
20.852,6.87E-02
20.885,5.27E-02
20.918,3.57E-02
20.952,1.77E-02
20.985,-6.67E-04
21.018,-1.91E-02
21.052,-3.76E-02
21.087,-5.56E-02
21.12,-7.21E-02
21.153,-8.67E-02
21.187,-9.94E-02
21.22,-0.11
21.253,-0.119
21.287,-0.126
21.32,-0.13
21.353,-0.13
21.387,-0.129
21.42,-0.125
21.453,-0.118
21.487,-0.109
21.52,-9.76E-02
21.553,-8.47E-02
21.587,-6.96E-02
21.62,-5.31E-02
21.653,-3.64E-02
21.687,-1.84E-02
21.72,-1.72E-03
21.753,1.56E-02
21.787,3.09E-02
21.82,4.80E-02
21.853,6.18E-02
21.887,7.46E-02
21.92,8.64E-02
21.953,9.61E-02
21.987,0.103
22.02,0.108
22.053,0.111
22.087,0.112
22.12,0.11
22.153,0.106
22.187,0.1
22.22,9.17E-02
22.253,8.16E-02
22.287,6.93E-02
22.32,5.67E-02
22.353,4.16E-02
22.387,2.52E-02
22.42,8.60E-03
22.453,-8.70E-03
22.487,-2.61E-02
22.52,-4.26E-02
22.553,-5.90E-02
22.587,-7.36E-02
22.62,-8.73E-02
22.653,-9.93E-02
22.687,-0.109
22.72,-0.117
22.753,-0.123
22.787,-0.126
22.82,-0.126
22.853,-0.124
22.887,-0.119
22.92,-0.113
22.955,-0.104
22.988,-9.31E-02
23.022,-8.07E-02
23.055,-6.64E-02
23.088,-5.08E-02
23.122,-3.46E-02
23.155,-1.72E-02
23.188,4.80E-05
23.222,1.72E-02
23.255,3.42E-02
23.288,4.98E-02
23.322,6.40E-02
23.355,7.65E-02
23.388,8.87E-02
23.422,9.88E-02
23.455,0.105
23.488,0.111
23.522,0.115
23.555,0.115
23.588,0.113
23.622,0.109
23.655,0.103
23.688,9.48E-02
23.722,8.47E-02
23.755,7.40E-02
23.788,6.01E-02
23.822,4.56E-02
23.855,3.10E-02
23.888,1.48E-02
23.922,-1.56E-03
23.955,-1.81E-02
23.988,-3.43E-02
24.022,-4.88E-02
24.055,-6.33E-02
24.088,-7.58E-02
24.122,-8.77E-02
24.155,-9.61E-02
24.188,-0.104
24.222,-0.108
24.255,-0.111
24.288,-0.111
24.322,-0.108
24.355,-0.104
24.388,-9.80E-02
24.422,-8.78E-02
24.455,-7.74E-02
24.488,-6.52E-02
24.522,-5.07E-02
24.555,-3.63E-02
24.588,-1.99E-02
24.622,-3.42E-03
24.655,1.48E-02
24.688,3.14E-02
